Area,Mean,Min,Max,Angle,Length,Inverse,Mean Inverse,Alpha Thickness
0.036,221,0,255,0,0.683,1.464128843,0.83849578,0.795074564
0.202,252,0,255,180,4.098,0.244021474,,
0.131,241.091,0,255,0,2.634,0.379650721,,
0.074,246.774,0,255,180,1.463,0.683526999,,
0.1,248.929,0,255,0,2,0.5,,
0.048,204,0,255,180,0.927,1.078748652,,
0.117,239.388,0,255,180,2.341,0.427167877,,
0.09,248.289,0,255,180,1.805,0.55401662,,
0.076,223.125,0,255,180,1.512,0.661375661,,
0.15,255,255,255,180,3.024,0.330687831,,
0.098,248.78,0,255,180,1.951,0.512557663,,
0.074,255,255,255,180,1.463,0.683526999,,
0.074,246.774,0,255,180,1.463,0.683526999,,
0.086,247.917,0,255,180,1.707,0.585823081,,
0.069,246.207,0,255,180,1.366,0.732064422,,
0.081,240,0,255,180,1.61,0.621118012,,
0.081,240,0,255,180,1.61,0.621118012,,
0.228,252.344,0,255,180,4.634,0.215796288,,
0.04,225,0,255,180,0.78,1.282051282,,
0.088,248.108,0,255,180,1.756,0.569476082,,
0.138,250.603,0,255,180,2.78,0.35971223,,
0.1,255,255,255,180,2,0.5,,
0.031,235.385,0,255,180,0.585,1.709401709,,
0.067,255,255,255,180,1.317,0.759301443,,
0.067,245.893,0,255,0,1.317,0.759301443,,
0.109,249.457,0,255,180,2.195,0.455580866,,
0.138,250.603,0,255,180,2.78,0.35971223,,
0.079,247.273,0,255,180,1.561,0.64061499,,
0.064,255,255,255,180,1.268,0.788643533,,
0.031,215.769,0,255,180,0.585,1.709401709,,
0.126,245.377,0,255,180,2.537,0.394166338,,
0.098,242.561,0,255,180,1.951,0.512557663,,
0.14,250.678,0,255,180,2.829,0.353481796,,
0.19,255,255,255,180,3.854,0.25947068,,
0.119,255,255,255,180,2.39,0.418410042,,
0.169,251.408,0,255,180,3.415,0.292825769,,
0.069,255,255,255,180,1.366,0.732064422,,
0.14,250.678,0,255,180,2.829,0.353481796,,
0.033,218.571,0,255,180,0.634,1.577287066,,
0.209,255,255,255,180,4.244,0.235626767,,
0.031,235.385,0,255,180,0.585,1.709401709,,
0.062,255,255,255,180,1.22,0.819672131,,
0.019,223.125,0,255,180,0.341,2.93255132,,
0.074,246.774,0,255,180,1.463,0.683526999,,
0.074,246.774,0,255,180,1.463,0.683526999,,
0.043,212.5,0,255,180,0.829,1.206272618,,
0.145,250.82,0,255,180,2.927,0.341646737,,
0.024,229.5,0,255,180,0.439,2.277904328,,
0.069,246.207,0,255,180,1.366,0.732064422,,
0.145,255,255,255,180,2.927,0.341646737,,
0.238,252.45,0,255,180,4.829,0.207082212,,
0.19,239.062,0,255,180,3.854,0.25947068,,
0.102,237.209,0,255,180,2.049,0.488042948,,
0.05,218.571,0,255,180,0.976,1.024590164,,
0.326,253.139,0,255,180,6.634,0.150738619,,
0.121,235,0,255,180,2.439,0.4100041,,
0.112,249.574,0,255,180,2.244,0.445632799,,
0.048,255,255,255,180,0.927,1.078748652,,
0.105,243.409,0,255,180,2.098,0.476644423,,
0.083,233.143,0,255,180,1.659,0.602772755,,
0.048,255,255,255,180,0.927,1.078748652,,
0.121,255,255,255,180,2.439,0.4100041,,
0.04,150,0,255,180,0.78,1.282051282,,
0.093,248.462,0,255,180,1.854,0.539374326,,
0.083,233.143,0,255,180,1.659,0.602772755,,
0.055,232.826,0,255,180,1.073,0.931966449,,
0.059,224.4,0,255,180,1.171,0.853970965,,
0.069,237.414,0,255,180,1.366,0.732064422,,
0.14,233.39,0,255,180,2.829,0.353481796,,
0.012,0,0,0,180,0.195,5.128205128,,
0.04,225,0,255,180,0.78,1.282051282,,
0.04,255,255,255,0,0.78,1.282051282,,
0.152,243.047,0,255,180,3.073,0.325414904,,
0.164,243.913,0,255,180,3.317,0.301477238,,
0.074,230.323,0,255,180,1.463,0.683526999,,
0.107,255,255,255,180,2.146,0.465983225,,
0.107,226.667,0,255,180,2.146,0.465983225,,
0.274,252.783,0,255,180,5.561,0.179823773,,
0.019,255,255,255,180,0.341,2.93255132,,
0.038,255,255,255,180,0.732,1.366120219,,
0.126,250.189,0,255,180,2.537,0.394166338,,
0.098,242.561,0,255,180,1.951,0.512557663,,
0.152,255,255,255,180,3.073,0.325414904,,
0.186,245.192,0,255,180,3.756,0.266240682,,
0.098,248.78,0,255,180,1.951,0.512557663,,
0.019,255,255,255,180,0.341,2.93255132,,
0.171,255,255,255,180,3.463,0.288766965,,
0.045,255,255,255,180,0.878,1.138952164,,
0.074,238.548,0,255,180,1.463,0.683526999,,
0.098,255,255,255,180,1.951,0.512557663,,
0.033,236.786,0,255,180,0.634,1.577287066,,
0.01,255,255,255,180,0.146,6.849315068,,
0.2,251.964,0,255,180,4.049,0.246974562,,
0.278,251.248,53,255,0,5.659,0.176709666,,
0.043,240.167,84,255,180,0.829,1.206272618,,
0.412,234.445,0,255,0,8.39,0.119189511,,
0.062,249.231,105,255,0,1.22,0.819672131,,
0.143,243.45,0,255,180,2.878,0.347463516,,
0.198,249.193,39,255,0,4,0.25,,
0.8,249.708,0,255,0,16.341,0.061195765,,
0.086,245.333,21,255,0,1.707,0.585823081,,
0.021,150.778,0,255,180,0.39,2.564102564,,
0.167,247.914,0,255,180,3.366,0.297088532,,
0.186,246.846,0,255,180,3.756,0.266240682,,
0.171,248.625,0,255,180,3.463,0.288766965,,
0.071,225.567,0,255,180,1.415,0.706713781,,
0.578,251.473,0,255,180,11.805,0.084709869,,
0.209,241.318,0,255,180,4.244,0.235626767,,
0.131,250.036,8,255,180,2.634,0.379650721,,
0.157,249.5,0,255,180,3.171,0.315357931,,
0.036,126.733,0,255,180,0.683,1.464128843,,
0.05,236.667,0,255,180,0.976,1.024590164,,
0.128,224.5,0,255,180,2.585,0.386847195,,
0.043,220.556,61,255,0,0.829,1.206272618,,
0.112,248.851,74,255,180,2.244,0.445632799,,
0.202,248.412,37,255,180,4.098,0.244021474,,
0.297,251.256,73,255,180,6.049,0.165316581,,
0.062,228.885,32,255,180,1.22,0.819672131,,
0.045,211.368,0,255,180,0.878,1.138952164,,
0.038,221.125,0,255,0,0.732,1.366120219,,
0.34,250.741,46,255,180,6.927,0.144362639,,
0.186,251.821,134,255,180,3.756,0.266240682,,
0.086,255,255,255,180,1.707,0.585823081,,
0.036,190.2,0,255,180,0.683,1.464128843,,
0.271,243.114,0,255,180,5.512,0.181422351,,
0.1,241.524,0,255,180,2,0.5,,
0.057,230.583,0,255,180,1.122,0.891265597,,
0.086,234.333,46,255,180,1.707,0.585823081,,
0.067,13.107,0,77,180,1.317,0.759301443,,
0.043,14.556,0,79,180,0.829,1.206272618,,
0.024,2.6,0,26,180,0.439,2.277904328,,
0.102,9.233,0,150,0,2.049,0.488042948,,
0.259,244.881,0,255,180,5.268,0.189825361,,
0.071,221.2,0,255,180,1.415,0.706713781,,
0.081,225.971,0,255,180,1.61,0.621118012,,
0.171,245.292,0,255,180,3.463,0.288766965,,
0.088,242.486,37,255,180,1.756,0.569476082,,
0.164,250.42,84,255,180,3.317,0.301477238,,
0.081,247.353,36,255,180,1.61,0.621118012,,
0.031,227.769,59,255,180,0.585,1.709401709,,
0.062,247.192,81,255,180,1.22,0.819672131,,
0.04,220.588,2,255,180,0.78,1.282051282,,
0.136,248,0,255,180,2.732,0.366032211,,
0.062,213.846,0,255,180,1.22,0.819672131,,
0.029,211.25,0,255,180,0.537,1.862197393,,
0.014,129.5,0,255,180,0.244,4.098360656,,
0.121,254.314,220,255,180,2.439,0.4100041,,
0.079,241.758,0,255,180,1.561,0.64061499,,
0.117,222.735,0,255,180,2.341,0.427167877,,
0.114,235.229,0,255,180,2.293,0.4361099,,
0.15,255,255,255,180,3.024,0.330687831,,
0.178,245.253,0,255,180,3.61,0.27700831,,
0.128,243.796,0,255,180,2.585,0.386847195,,
0.126,248.755,0,255,180,2.537,0.394166338,,
0.059,247.72,141,255,180,1.171,0.853970965,,
0.076,233,0,255,180,1.512,0.661375661,,
0.057,234.667,0,255,180,1.122,0.891265597,,
0.04,221.412,41,255,180,0.78,1.282051282,,
0.036,224,64,255,180,0.683,1.464128843,,
0.207,245.241,0,255,180,4.195,0.238379023,,
0.15,247.778,0,255,180,3.024,0.330687831,,
0.043,208.444,0,255,180,0.829,1.206272618,,
0.143,237.767,0,255,180,2.878,0.347463516,,
0.026,186.909,0,255,180,0.488,2.049180328,,
0.026,237.273,60,255,180,0.488,2.049180328,,
0.138,254.448,236,255,0,2.78,0.35971223,,
0.059,249.48,124,255,180,1.171,0.853970965,,
0.045,247.158,168,255,180,0.878,1.138952164,,
0.057,233.458,0,255,180,1.122,0.891265597,,
0.205,253.988,168,255,180,4.146,0.241196334,,
0.029,223.583,0,255,180,0.537,1.862197393,,
0.086,241.5,0,255,180,1.707,0.585823081,,
0.076,254.219,244,255,0,1.512,0.661375661,,
0.233,249.347,103,255,180,4.732,0.211327134,,
0.029,154.167,0,255,180,0.537,1.862197393,,
0.076,251.469,165,255,0,1.512,0.661375661,,
0.102,245.14,106,255,180,2.049,0.488042948,,
0.109,254.935,252,255,180,2.195,0.455580866,,
0.112,250,139,255,180,2.244,0.445632799,,
0.09,221.947,26,255,180,1.805,0.55401662,,
0.162,246.868,116,255,180,3.268,0.305997552,,
0.074,238.935,95,255,180,1.463,0.683526999,,
0.109,247.478,129,255,180,2.195,0.455580866,,
0.105,251.545,138,255,180,2.098,0.476644423,,
0.209,235.489,2,255,180,4.244,0.235626767,,
0.212,242.011,9,255,180,4.293,0.23293734,,
0.102,217.163,5,255,180,2.049,0.488042948,,
0.098,221.073,6,255,180,1.951,0.512557663,,
0.024,211.3,10,255,180,0.439,2.277904328,,
0.126,247.264,0,255,180,2.537,0.394166338,,
0.09,246.658,102,255,180,1.805,0.55401662,,
0.133,248.464,63,255,180,2.683,0.372717108,,
0.029,155.417,0,255,180,0.537,1.862197393,,
0.071,243.333,24,255,180,1.415,0.706713781,,
0.321,254.785,243,255,180,6.537,0.152975371,,
0.098,233.22,62,255,180,1.951,0.512557663,,
0.247,241.962,19,255,180,5.024,0.199044586,,
0.105,241.75,20,255,0,2.098,0.476644423,,
0.316,246.504,3,255,180,6.439,0.155303619,,
0.326,239.131,0,255,180,6.634,0.150738619,,
0.19,252.262,101,255,180,3.854,0.25947068,,
0.195,247.39,18,255,180,3.951,0.253100481,,
0.186,236.808,1,255,180,3.756,0.266240682,,
0.119,254.44,236,255,180,2.39,0.418410042,,
0.081,250.235,113,255,180,1.61,0.621118012,,
0.105,254.977,254,255,0,2.098,0.476644423,,
0.109,243.043,11,255,180,2.195,0.455580866,,
0.067,231.893,24,255,180,1.317,0.759301443,,
0.026,202.909,19,255,180,0.488,2.049180328,,
0.095,240.575,0,255,180,1.902,0.525762355,,
0.083,240.914,12,255,180,1.659,0.602772755,,
0.186,248.808,22,255,180,3.756,0.266240682,,
0.043,233.5,85,255,180,0.829,1.206272618,,
0.148,249.274,101,255,180,2.976,0.336021505,,
0.04,250.059,178,255,180,0.78,1.282051282,,
0.124,254.654,237,255,180,2.488,0.40192926,,
0.133,253.089,154,255,180,2.683,0.372717108,,
0.062,234.462,61,255,180,1.22,0.819672131,,
0.119,253.2,186,255,180,2.39,0.418410042,,
0.336,254.83,235,255,180,6.829,0.146434324,,
0.076,251.031,161,255,180,1.512,0.661375661,,
0.14,241.034,23,255,180,2.829,0.353481796,,
0.343,254.903,246,255,180,6.976,0.143348624,,
0.105,229.318,0,255,180,2.098,0.476644423,,
0.198,254.518,226,255,180,4,0.25,,
0.048,197.55,61,255,180,0.927,1.078748652,,
0.057,252.958,206,255,0,1.122,0.891265597,,
0.024,204.3,16,255,180,0.439,2.277904328,,
0.071,233.9,11,255,180,1.415,0.706713781,,
0.074,234.387,14,255,180,1.463,0.683526999,,
0.076,215.5,0,255,180,1.512,0.661375661,,
0.114,237.854,0,255,180,2.293,0.4361099,,
0.131,244.982,4,255,180,2.634,0.379650721,,
0.124,254.173,221,255,180,2.488,0.40192926,,
0.062,240,44,255,180,1.22,0.819672131,,
0.05,222.619,0,255,180,0.976,1.024590164,,
0.152,252.172,86,255,180,3.073,0.325414904,,
0.098,249.805,100,255,180,1.951,0.512557663,,
0.107,231.311,15,255,180,2.146,0.465983225,,
0.048,213.55,2,255,180,0.927,1.078748652,,
0.029,242.25,125,255,180,0.537,1.862197393,,
0.067,211,8,255,180,1.317,0.759301443,,
0.107,216.578,0,255,180,2.146,0.465983225,,
0.102,249.674,87,255,180,2.049,0.488042948,,
0.043,230.056,87,255,180,0.829,1.206272618,,
0.071,240.433,86,255,180,1.415,0.706713781,,
0.055,238.957,106,255,180,1.073,0.931966449,,
0.031,254.923,254,255,180,0.585,1.709401709,,
0.121,249.725,64,255,180,2.439,0.4100041,,
0.093,250.513,111,255,180,1.854,0.539374326,,
0.01,231.5,174,255,0,0.146,6.849315068,,
0.05,233.524,7,255,180,0.976,1.024590164,,
0.069,254.517,248,255,180,1.366,0.732064422,,
0.148,250.935,73,255,180,2.976,0.336021505,,
0.057,240,73,255,180,1.122,0.891265597,,
0.1,251.905,179,255,180,2,0.5,,
0.098,254.902,251,255,180,1.951,0.512557663,,
0.064,216.741,0,255,180,1.268,0.788643533,,
0.05,248.095,165,255,0,0.976,1.024590164,,
0.105,237.432,18,255,180,2.098,0.476644423,,
0.031,210.615,44,255,180,0.585,1.709401709,,
0.026,148,1,254,180,0.488,2.049180328,,
0.112,250.17,82,255,180,2.244,0.445632799,,
0.019,212.875,75,255,0,0.341,2.93255132,,
0.083,246.314,56,255,180,1.659,0.602772755,,
0.107,248.867,167,255,180,2.146,0.465983225,,
0.029,185.417,4,255,180,0.537,1.862197393,,
0.04,249.765,176,255,180,0.78,1.282051282,,
0.164,251.899,84,255,180,3.317,0.301477238,,
0.029,240.333,160,255,0,0.537,1.862197393,,
0.119,239.1,14,255,180,2.39,0.418410042,,
0.295,254.113,210,255,180,6,0.166666667,,
0.088,240.324,61,255,180,1.756,0.569476082,,
0.045,176.632,0,255,180,0.878,1.138952164,,
0.083,226.829,38,255,180,1.659,0.602772755,,
