Area,Mean,Min,Max,Angle,Length,Inverse,Mean Inverse,Alpha Thickness
0.088,238.324,13,255,180,1.756,0.569476082,,
0.045,180.789,13,255,180,0.878,1.138952164,,
0.043,231.722,102,255,180,0.829,1.206272618,,
0.043,207.611,48,255,180,0.829,1.206272618,,
0.145,253.459,173,255,180,2.927,0.341646737,,
0.055,166.652,0,255,180,1.073,0.931966449,,
0.214,253.344,179,255,180,4.341,0.230361668,,
0.105,250.318,126,255,180,2.098,0.476644423,,
0.114,244.333,1,255,180,2.293,0.4361099,,
0.067,255,255,255,0,1.317,0.759301443,,
0.126,253.245,184,255,180,2.537,0.394166338,,
0.105,237.705,79,255,180,2.098,0.476644423,,
0.214,253.211,168,255,180,4.341,0.230361668,,
0.157,252,113,255,0,3.171,0.315357931,,
0.145,252.541,174,255,180,2.927,0.341646737,,
0.069,241.655,96,255,180,1.366,0.732064422,,
0.409,253.483,77,255,180,8.341,0.119889701,,
0.159,250.284,56,255,180,3.22,0.310559006,,
0.271,254.991,254,255,180,5.512,0.181422351,,
0.048,176.4,0,255,180,0.927,1.078748652,,
0.043,207.333,21,255,180,0.829,1.206272618,,
0.205,246.651,21,255,180,4.146,0.241196334,,
0.067,214.821,0,255,180,1.317,0.759301443,,
0.169,250.493,79,255,180,3.415,0.292825769,,
0.05,192.857,0,255,180,0.976,1.024590164,,
0.04,209,0,255,180,0.78,1.282051282,,
0.036,251.333,200,255,0,0.683,1.464128843,,
0.045,187.842,0,255,180,0.878,1.138952164,,
0.1,251.929,201,255,180,2,0.5,,
0.033,192,12,255,180,0.634,1.577287066,,
0.045,246.316,188,255,180,0.878,1.138952164,,
0.059,237.2,117,255,180,1.171,0.853970965,,
0.069,237.793,79,255,180,1.366,0.732064422,,
0.157,246.288,42,255,180,3.171,0.315357931,,
0.333,250.721,57,255,180,6.78,0.147492625,,
0.059,255,255,255,180,1.171,0.853970965,,
0.036,255,255,255,180,0.683,1.464128843,,
0.195,253.646,198,255,180,3.951,0.253100481,,
0.081,241.882,19,255,180,1.61,0.621118012,,
0.243,248.912,13,255,180,4.927,0.202963264,,
0.159,247.284,12,255,180,3.22,0.310559006,,
0.098,252.634,206,255,180,1.951,0.512557663,,
0.055,247,129,255,180,1.073,0.931966449,,
0.095,249.35,152,255,180,1.902,0.525762355,,
0.048,254.45,244,255,180,0.927,1.078748652,,
0.026,227.818,120,255,180,0.488,2.049180328,,
0.105,240.182,57,255,0,2.098,0.476644423,,
0.043,231.333,142,255,180,0.829,1.206272618,,
0.074,224.29,1,255,180,1.463,0.683526999,,
0.088,248.162,58,255,180,1.756,0.569476082,,
0.133,253.768,192,255,0,2.683,0.372717108,,
0.057,215.625,0,255,180,1.122,0.891265597,,
0.4,250.929,20,255,180,8.146,0.122759637,,
0.033,148.714,19,255,180,0.634,1.577287066,,
0.207,248.678,97,255,180,4.195,0.238379023,,
0.283,244.504,37,255,180,5.756,0.173731758,,
0.102,243.419,93,255,180,2.049,0.488042948,,
0.314,252.795,125,255,180,6.39,0.156494523,,
0.064,252.37,209,255,0,1.268,0.788643533,,
0.181,246.553,58,255,180,3.659,0.273298715,,
0.079,253.03,210,255,0,1.561,0.64061499,,
0.093,240.205,81,255,180,1.854,0.539374326,,
0.05,236,130,255,180,0.976,1.024590164,,
0.057,222.958,1,255,180,1.122,0.891265597,,
0.062,238.808,46,255,180,1.22,0.819672131,,
0.064,192.333,4,255,180,1.268,0.788643533,,
0.067,209.071,0,255,180,1.317,0.759301443,,
0.04,251.471,197,255,180,0.78,1.282051282,,
0.112,254.936,252,255,0,2.244,0.445632799,,
0.126,243.321,43,255,180,2.537,0.394166338,,
0.038,222.312,15,255,180,0.732,1.366120219,,
0.031,252.846,236,255,180,0.585,1.709401709,,
0.15,253.794,223,255,0,3.024,0.330687831,,
0.038,232.312,72,255,180,0.732,1.366120219,,
0.029,195.25,21,255,180,0.537,1.862197393,,
0.152,241.984,3,255,180,3.073,0.325414904,,
0.076,249.281,193,255,180,1.512,0.661375661,,
0.064,249.222,159,255,180,1.268,0.788643533,,
0.126,246.057,55,255,180,2.537,0.394166338,,
0.064,251,205,255,180,1.268,0.788643533,,
0.024,201.7,78,255,180,0.439,2.277904328,,
0.062,244.615,108,255,180,1.22,0.819672131,,
0.119,251.46,176,255,180,2.39,0.418410042,,
0.088,241.838,48,255,180,1.756,0.569476082,,
0.081,249.735,123,255,180,1.61,0.621118012,,
0.026,235.364,120,255,180,0.488,2.049180328,,
0.014,224.333,184,248,180,0.244,4.098360656,,
0.152,253.5,199,255,180,3.073,0.325414904,,
0.064,240.444,101,255,180,1.268,0.788643533,,
0.069,242.241,152,255,180,1.366,0.732064422,,
0.059,254.64,248,255,180,1.171,0.853970965,,
0.059,250.52,192,255,0,1.171,0.853970965,,
0.171,245.806,126,255,180,3.463,0.288766965,,
0.178,242.16,105,255,180,3.61,0.27700831,,
0.036,246.2,214,255,180,0.683,1.464128843,,
0.109,247.826,163,255,180,2.195,0.455580866,,
0.1,244.286,38,255,180,2,0.5,,
0.081,242.5,78,255,180,1.61,0.621118012,,
0.14,253.288,170,255,180,2.829,0.353481796,,
0.067,254.393,238,255,180,1.317,0.759301443,,
0.338,252.986,118,255,180,6.878,0.145391102,,
0.052,245.273,161,255,180,1.024,0.9765625,,
0.05,244.19,108,255,0,0.976,1.024590164,,
0.124,249.173,101,255,180,2.488,0.40192926,,
0.05,250.571,170,255,180,0.976,1.024590164,,
0.043,229.889,57,255,180,0.829,1.206272618,,
0.052,232,14,255,180,1.024,0.9765625,,
0.079,245.091,83,255,180,1.561,0.64061499,,
0.043,214.5,89,255,180,0.829,1.206272618,,
0.026,225.909,119,255,180,0.488,2.049180328,,
0.081,241.559,66,255,180,1.61,0.621118012,,
0.043,222.5,51,255,180,0.829,1.206272618,,
0.069,248.966,152,255,180,1.366,0.732064422,,
0.202,249.2,54,255,180,4.098,0.244021474,,
0.059,228.32,32,255,180,1.171,0.853970965,,
0.079,246.303,56,255,180,1.561,0.64061499,,
0.117,248.878,129,255,180,2.341,0.427167877,,
0.033,203.214,11,255,180,0.634,1.577287066,,
0.033,203.5,5,255,180,0.634,1.577287066,,
0.071,242.233,96,255,180,1.415,0.706713781,,
0.045,248.474,164,255,180,0.878,1.138952164,,
0.295,253.363,216,255,0,6,0.166666667,,
0.076,249.469,135,255,0,1.512,0.661375661,,
0.059,252.88,225,255,180,1.171,0.853970965,,
0.152,238.812,33,255,180,3.073,0.325414904,,
0.021,142.889,66,176,180,0.39,2.564102564,,
0.416,254.509,196,255,0,8.488,0.117813384,,
0.086,252.778,226,255,180,1.707,0.585823081,,
0.033,249.714,226,255,180,0.634,1.577287066,,
0.288,247.421,18,255,180,5.854,0.170823369,,
0.081,251.235,198,255,180,1.61,0.621118012,,
0.098,245.878,40,255,180,1.951,0.512557663,,
0.095,250.025,172,255,180,1.902,0.525762355,,
0.055,243,104,255,180,1.073,0.931966449,,
0.029,231.667,105,255,180,0.537,1.862197393,,
0.048,254.05,237,255,0,0.927,1.078748652,,
0.017,234.857,140,255,180,0.293,3.412969283,,
0.031,235.231,88,255,180,0.585,1.709401709,,
0.067,237.536,87,255,180,1.317,0.759301443,,
0.128,243.963,86,255,180,2.585,0.386847195,,
0.052,223.364,6,255,180,1.024,0.9765625,,
0.121,249.157,72,255,180,2.439,0.4100041,,
0.017,197.429,75,254,180,0.293,3.412969283,,
0.033,223.214,64,255,180,0.634,1.577287066,,
0.038,229.188,68,255,180,0.732,1.366120219,,
0.05,217.286,59,255,180,0.976,1.024590164,,
0.059,239.52,173,255,0,1.171,0.853970965,,
0.4,253.31,152,255,180,8.146,0.122759637,,
0.469,254.523,202,255,0,9.561,0.10459157,,
0.124,242.596,19,255,180,2.488,0.40192926,,
0.05,232.19,19,255,180,0.976,1.024590164,,
0.067,242.929,54,255,180,1.317,0.759301443,,
0.159,244.552,26,255,180,3.22,0.310559006,,
0.052,231.909,26,255,180,1.024,0.9765625,,
0.04,234.941,99,255,180,0.78,1.282051282,,
0.081,239.559,63,255,180,1.61,0.621118012,,
0.062,252.538,214,255,180,1.22,0.819672131,,
0.059,205.12,1,255,180,1.171,0.853970965,,
0.086,252.667,213,255,180,1.707,0.585823081,,
0.062,193.038,0,255,180,1.22,0.819672131,,
0.04,193.588,0,255,180,0.78,1.282051282,,
0.081,240.588,43,255,180,1.61,0.621118012,,
0.074,251,185,255,0,1.463,0.683526999,,
0.274,246.261,82,255,180,5.561,0.179823773,,
0.131,244.673,52,255,180,2.634,0.379650721,,
0.045,226.368,58,255,180,0.878,1.138952164,,
0.043,243,115,255,180,0.829,1.206272618,,
0.024,253.3,240,255,180,0.439,2.277904328,,
0.033,158.643,0,255,180,0.634,1.577287066,,
0.205,254.907,248,255,0,4.146,0.241196334,,
0.119,251,118,255,180,2.39,0.418410042,,
0.04,227.412,85,255,180,0.78,1.282051282,,
0.198,254.518,221,255,0,4,0.25,,
0.385,254.728,226,255,180,7.854,0.127323657,,
0.186,252.731,127,255,180,3.756,0.266240682,,
0.081,249.971,168,255,180,1.61,0.621118012,,
0.074,239.581,144,255,180,1.463,0.683526999,,
0.088,243.703,166,255,180,1.756,0.569476082,,
0.157,253.803,199,255,180,3.171,0.315357931,,
0.057,208.542,43,255,180,1.122,0.891265597,,
0.033,248.214,210,255,180,0.634,1.577287066,,
0.043,236.444,86,255,180,0.829,1.206272618,,
0.021,221.556,156,255,180,0.39,2.564102564,,
0.043,204.556,9,255,180,0.829,1.206272618,,
0.083,232.943,66,255,180,1.659,0.602772755,,
0.131,239.782,1,255,180,2.634,0.379650721,,
0.128,250.056,162,255,0,2.585,0.386847195,,
0.112,246.511,44,255,180,2.244,0.445632799,,
0.088,254.216,232,255,180,1.756,0.569476082,,
0.119,252.68,191,255,0,2.39,0.418410042,,
0.081,253.147,215,255,180,1.61,0.621118012,,
0.086,245.139,162,255,180,1.707,0.585823081,,
0.062,236.5,117,255,180,1.22,0.819672131,,
0.057,236.75,63,255,180,1.122,0.891265597,,
0.019,119,17,208,180,0.341,2.93255132,,
0.029,248.333,230,255,180,0.537,1.862197393,,
0.04,237.235,175,255,0,0.78,1.282051282,,
0.267,253.902,193,255,180,5.415,0.184672207,,
0.286,254.033,207,255,180,5.805,0.172265289,,
0.043,239.889,133,255,180,0.829,1.206272618,,
0.278,252.983,145,255,180,5.659,0.176709666,,
0.102,253.512,210,255,180,2.049,0.488042948,,
0.121,251.98,171,255,180,2.439,0.4100041,,
0.252,247.585,90,255,180,5.122,0.195236236,,
0.15,254.492,241,255,180,3.024,0.330687831,,
0.183,254.987,254,255,180,3.707,0.269759914,,
0.086,250.25,138,255,180,1.707,0.585823081,,
0.021,185.333,81,254,0,0.39,2.564102564,,
0.143,254.383,231,255,180,2.878,0.347463516,,
0.057,241,92,255,180,1.122,0.891265597,,
0.114,227.25,15,255,180,2.293,0.4361099,,
0.079,219.485,33,255,180,1.561,0.64061499,,
0.1,254.333,237,255,180,2,0.5,,
0.183,250.416,66,255,180,3.707,0.269759914,,
0.079,220.121,35,255,180,1.561,0.64061499,,
0.105,238.273,27,255,180,2.098,0.476644423,,
0.059,233.84,32,255,180,1.171,0.853970965,,
0.062,226.192,74,255,180,1.22,0.819672131,,
0.2,246.833,2,255,180,4.049,0.246974562,,
0.159,253.075,198,255,180,3.22,0.310559006,,
0.064,243.741,89,255,180,1.268,0.788643533,,
0.131,244.382,7,255,180,2.634,0.379650721,,
0.052,220.091,15,255,180,1.024,0.9765625,,
0.036,195.733,15,255,180,0.683,1.464128843,,
0.228,251.104,75,255,180,4.634,0.215796288,,
0.178,253.027,154,255,180,3.61,0.27700831,,
0.245,245.398,41,255,180,4.976,0.20096463,,
0.105,246.159,88,255,180,2.098,0.476644423,,
0.069,220.379,3,255,180,1.366,0.732064422,,
0.136,249.842,111,255,180,2.732,0.366032211,,
0.036,254.4,247,255,180,0.683,1.464128843,,
0.021,195.222,14,255,180,0.39,2.564102564,,
0.112,254.532,242,255,180,2.244,0.445632799,,
0.019,219.625,148,255,180,0.341,2.93255132,,
0.021,239,210,255,180,0.39,2.564102564,,
0.019,239.25,197,255,180,0.341,2.93255132,,
0.055,223.739,53,255,180,1.073,0.931966449,,
0.098,237.341,44,255,180,1.951,0.512557663,,
0.112,243.128,85,255,180,2.244,0.445632799,,
0.043,235.222,70,255,180,0.829,1.206272618,,
0.074,209.258,38,255,180,1.463,0.683526999,,
0.021,254.889,254,255,180,0.39,2.564102564,,
0.045,253.053,220,255,180,0.878,1.138952164,,
0.112,236.809,59,255,180,2.244,0.445632799,,
0.079,234.121,57,255,180,1.561,0.64061499,,
0.138,233.724,34,255,180,2.78,0.35971223,,
0.05,239.571,171,255,180,0.976,1.024590164,,
0.076,236.031,26,255,180,1.512,0.661375661,,
0.093,223.436,17,255,180,1.854,0.539374326,,
0.19,249.688,44,255,180,3.854,0.25947068,,
0.079,249.939,182,255,180,1.561,0.64061499,,
0.102,249.093,131,255,180,2.049,0.488042948,,
0.031,199.923,62,255,180,0.585,1.709401709,,
0.083,236.6,44,255,0,1.659,0.602772755,,
0.114,243.271,110,255,180,2.293,0.4361099,,
0.026,187.636,45,255,180,0.488,2.049180328,,
0.026,202.818,19,255,180,0.488,2.049180328,,
0.14,240.271,4,255,180,2.829,0.353481796,,
0.036,213,62,255,180,0.683,1.464128843,,
0.038,232.812,108,255,180,0.732,1.366120219,,
0.09,243.184,66,255,180,1.805,0.55401662,,
0.071,248.867,202,255,180,1.415,0.706713781,,
0.026,167.273,10,255,180,0.488,2.049180328,,
0.062,248.962,156,255,180,1.22,0.819672131,,
0.138,234.672,14,255,180,2.78,0.35971223,,
0.031,230.923,125,255,180,0.585,1.709401709,,
0.029,245.75,164,255,180,0.537,1.862197393,,
0.036,237.533,107,255,180,0.683,1.464128843,,
0.055,207.174,2,255,180,1.073,0.931966449,,
0.036,170,17,230,180,0.683,1.464128843,,
0.071,235.467,94,255,180,1.415,0.706713781,,
0.024,191.4,34,255,180,0.439,2.277904328,,
